keyword,primary_topic,Node-link,Bar,Cont.-ColorPatn,Grid
more charts/points/lines/shapes/elements,Data Density / Image Clutter,22.35294117647059,13.924050632911392,21.311475409836063,31.645569620253166
much/little data/info,Data Density / Image Clutter,23.52941176470588,17.72151898734177,19.672131147540984,31.645569620253166
overlapping shapes/colors/lines,Data Density / Image Clutter,17.647058823529413,3.79746835443038,6.557377049180328,16.455696202531644
clear colors/shapes,Visual Encoding Clarity,1.1764705882352942,1.2658227848101267,0.0,0.0
shapes and lines,Visual Encoding Clarity,31.76470588235294,12.658227848101266,16.39344262295082,12.658227848101266
understand/read shapes,Visual Encoding Clarity,1.1764705882352942,0.0,1.639344262295082,0.0
amount of words/context/numbers,Semantics / Text Legibility,16.470588235294116,5.063291139240507,3.278688524590164,21.518987341772153
labels/axes/legends,Semantics / Text Legibility,10.588235294117647,16.455696202531644,16.39344262295082,24.050632911392405
word rotation/small font size,Semantics / Text Legibility,3.5294117647058822,2.5316455696202533,0.0,8.860759493670885
2D/3D,Schema,7.0588235294117645,1.2658227848101267,9.836065573770492,3.79746835443038
abstract shapes or colors,Schema,1.1764705882352942,0.0,1.639344262295082,0.0
"domain-specific concepts (e.g., chemical, biology, map)",Schema,25.882352941176475,10.126582278481013,27.86885245901639,20.253164556962027
color contrast/clarity,"Color, Symbol, and Texture Details",14.117647058823529,6.329113924050633,19.672131147540984,17.72151898734177
color variety/shading,"Color, Symbol, and Texture Details",21.176470588235293,21.518987341772153,37.704918032786885,29.11392405063291
symbols,"Color, Symbol, and Texture Details",2.3529411764705883,0.0,3.278688524590164,1.2658227848101267
distracting/confusing/unclear,Aesthetics Uncertainty,7.0588235294117645,2.5316455696202533,8.19672131147541,11.39240506329114
unclear colors/contrast,Aesthetics Uncertainty,0.0,1.2658227848101267,4.918032786885246,1.2658227848101267
easy/hard to interpret,Immediacy / Cognitive Load,54.11764705882353,37.9746835443038,36.0655737704918,32.91139240506329
take longer to interpret,Immediacy / Cognitive Load,5.88235294117647,12.658227848101266,6.557377049180328,15.18987341772152
unclear meaning/confusing,Immediacy / Cognitive Load,14.117647058823529,7.59493670886076,13.114754098360656,10.126582278481013
