SubTopic,Topic,Area (+),Area (-),Area (+/-),Bar (+),Bar (-),Bar (+/-),Cont.-ColorPatn (+),Cont.-ColorPatn (-),Cont.-ColorPatn (+/-),Glyph (+),Glyph (-),Glyph (+/-),Grid (+),Grid (-),Grid (+/-),Line (+),Line (-),Line (+/-),Node-link (+),Node-link (-),Node-link (+/-),Point (+),Point (-),Point (+/-),Text (+),Text (-),Text (+/-),Total (+),Total (-),Total (+/-)
Color Palette & Contrast,"Color, Symbol, and Texture Details",1,0,33,1,0,17,2,0,25,0,0,24,2,0,37,0,0,14,0,0,27,2,0,20,0,0,17,8,0,214
Interpretive Difficulty,Immediacy / Cognitive Load,3,3,22,3,3,20,2,0,10,3,1,20,1,1,16,2,1,17,7,3,27,4,0,20,3,0,20,28,12,172
Domain Familiarity,Schema,1,0,24,1,0,7,0,0,12,3,0,16,1,0,10,0,0,15,2,0,16,3,0,14,0,1,12,11,1,126
Graphical Forms & Primitives,Visual Encoding Clarity,0,0,11,1,0,9,0,0,10,0,0,20,2,0,7,1,1,17,0,0,18,2,0,12,0,0,8,6,1,112
Information Volume,Data Density / Image Clutter,1,0,17,0,0,7,0,0,8,0,0,10,2,0,19,0,0,8,0,0,16,1,0,16,0,0,12,4,0,113
Element Quantity,Data Density / Image Clutter,0,0,10,0,0,11,0,0,11,1,0,13,2,0,17,0,0,8,2,0,14,1,0,17,0,0,6,6,0,107
Annotations & Labels,Semantics / Text Legibility,0,0,17,0,0,10,0,0,9,0,0,13,0,0,12,0,0,10,0,0,10,0,0,18,0,0,9,0,0,108
Text Volume & Content,Semantics / Text Legibility,0,0,7,1,0,3,0,0,1,0,0,2,1,0,12,0,0,5,1,0,12,0,0,6,1,0,15,4,0,63
Semantic Clarity,Immediacy / Cognitive Load,1,0,5,0,0,5,0,0,7,1,0,9,1,0,5,0,0,7,1,0,8,0,0,5,0,0,6,4,0,57
Visual Disorganization,Aesthetics Uncertainty,0,0,8,0,0,2,1,0,4,0,0,11,1,0,7,1,0,4,0,0,6,2,1,4,1,0,5,6,1,51
Processing Time & Effort,Immediacy / Cognitive Load,0,0,7,2,0,6,0,0,4,1,0,4,2,0,11,1,0,4,1,0,3,1,0,4,0,0,3,8,0,46
Visual Clutter & Overlap,Data Density / Image Clutter,0,0,4,0,0,1,0,0,5,0,0,3,3,0,8,0,0,3,0,0,12,0,0,7,1,0,3,4,0,46
Typography & Readability,Semantics / Text Legibility,0,0,10,0,0,2,0,0,0,0,0,1,0,0,5,0,0,4,0,0,3,1,1,5,0,0,14,1,1,44
Dimensionality & Structure,Schema,0,0,7,0,0,1,0,0,5,0,0,5,0,0,3,0,0,2,0,0,6,0,0,5,0,0,1,0,0,35
Encoding Interpretability,Visual Encoding Clarity,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,3,1,0,1,0,0,2,3,0,14
"Position, Scale & Organization",Visual Encoding Clarity,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,13
Symbols & Texture,"Color, Symbol, and Texture Details",0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,10
Perceptual Ambiguity,Aesthetics Uncertainty,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,6
Abstraction Level,Schema,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,3
